Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2022-01-01 00:00:00,USA,California Independent System Operator,US-CAL-CISO,209.26,274.07,55.43,41.25,caiso.com,false,
2022-01-01 01:00:00,USA,California Independent System Operator,US-CAL-CISO,225.02,291.76,52.72,39.49,caiso.com,false,
2022-01-01 02:00:00,USA,California Independent System Operator,US-CAL-CISO,228.91,296.78,51.64,38.25,caiso.com,false,
2022-01-01 03:00:00,USA,California Independent System Operator,US-CAL-CISO,231.82,300.32,51.05,37.42,caiso.com,false,
2022-01-01 04:00:00,USA,California Independent System Operator,US-CAL-CISO,235.79,305.5,49.77,35.59,caiso.com,false,
2022-01-01 05:00:00,USA,California Independent System Operator,US-CAL-CISO,233.19,303.12,49.79,35.09,caiso.com,false,
2022-01-01 06:00:00,USA,California Independent System Operator,US-CAL-CISO,225.99,294.4,51.37,35.91,caiso.com,false,
2022-01-01 07:00:00,USA,California Independent System Operator,US-CAL-CISO,223.53,291.74,51.82,35.88,caiso.com,false,
2022-01-01 08:00:00,USA,California Independent System Operator,US-CAL-CISO,217.64,284.2,53.51,37.29,caiso.com,false,
2022-01-01 09:00:00,USA,California Independent System Operator,US-CAL-CISO,218.63,284.74,54.01,37.18,caiso.com,false,
2022-01-01 10:00:00,USA,California Independent System Operator,US-CAL-CISO,228.09,296.41,51.83,34.59,caiso.com,false,
2022-01-01 11:00:00,USA,California Independent System Operator,US-CAL-CISO,231.04,300.06,51.21,33.65,caiso.com,false,
2022-01-01 12:00:00,USA,California Independent System Operator,US-CAL-CISO,235.01,304.98,50.34,32.86,caiso.com,false,
2022-01-01 13:00:00,USA,California Independent System Operator,US-CAL-CISO,239.33,309.54,50.0,33.03,caiso.com,false,
2022-01-01 14:00:00,USA,California Independent System Operator,US-CAL-CISO,242.21,313.97,48.8,32.3,caiso.com,false,
2022-01-01 15:00:00,USA,California Independent System Operator,US-CAL-CISO,223.7,292.1,52.74,36.83,caiso.com,false,
2022-01-01 16:00:00,USA,California Independent System Operator,US-CAL-CISO,155.91,211.29,67.72,53.09,caiso.com,false,
2022-01-01 17:00:00,USA,California Independent System Operator,US-CAL-CISO,126.55,176.27,74.27,59.9,caiso.com,false,
2022-01-01 18:00:00,USA,California Independent System Operator,US-CAL-CISO,119.92,169.01,75.32,61.08,caiso.com,false,
2022-01-01 19:00:00,USA,California Independent System Operator,US-CAL-CISO,109.52,156.94,77.61,63.06,caiso.com,false,
2022-01-01 20:00:00,USA,California Independent System Operator,US-CAL-CISO,110.01,157.74,77.32,62.64,caiso.com,false,
2022-01-01 21:00:00,USA,California Independent System Operator,US-CAL-CISO,113.38,161.72,76.62,61.83,caiso.com,false,
2022-01-01 22:00:00,USA,California Independent System Operator,US-CAL-CISO,129.3,181.43,72.55,58.25,caiso.com,false,
2022-01-01 23:00:00,USA,California Independent System Operator,US-CAL-CISO,156.34,214.56,66.03,51.95,caiso.com,false,
2022-01-02 00:00:00,USA,California Independent System Operator,US-CAL-CISO,215.49,283.56,53.98,39.6,caiso.com,false,
2022-01-02 01:00:00,USA,California Independent System Operator,US-CAL-CISO,245.1,318.45,47.54,34.62,caiso.com,false,
2022-01-02 02:00:00,USA,California Independent System Operator,US-CAL-CISO,248.15,322.37,46.6,33.53,caiso.com,false,
2022-01-02 03:00:00,USA,California Independent System Operator,US-CAL-CISO,246.74,320.96,46.87,33.63,caiso.com,false,
2022-01-02 04:00:00,USA,California Independent System Operator,US-CAL-CISO,248.61,325.19,45.2,31.47,caiso.com,false,
2022-01-02 05:00:00,USA,California Independent System Operator,US-CAL-CISO,255.09,334.33,42.95,28.92,caiso.com,false,
2022-01-02 06:00:00,USA,California Independent System Operator,US-CAL-CISO,257.12,337.88,41.8,27.46,caiso.com,false,
2022-01-02 07:00:00,USA,California Independent System Operator,US-CAL-CISO,255.79,336.23,42.15,27.11,caiso.com,false,
2022-01-02 08:00:00,USA,California Independent System Operator,US-CAL-CISO,250.93,329.96,43.69,28.07,caiso.com,false,
2022-01-02 09:00:00,USA,California Independent System Operator,US-CAL-CISO,245.16,322.28,45.61,29.36,caiso.com,false,
2022-01-02 10:00:00,USA,California Independent System Operator,US-CAL-CISO,249.98,327.39,44.94,28.33,caiso.com,false,
2022-01-02 11:00:00,USA,California Independent System Operator,US-CAL-CISO,251.97,329.38,44.65,28.22,caiso.com,false,
2022-01-02 12:00:00,USA,California Independent System Operator,US-CAL-CISO,247.9,324.66,45.34,29.22,caiso.com,false,
2022-01-02 13:00:00,USA,California Independent System Operator,US-CAL-CISO,246.27,322.4,45.82,30.27,caiso.com,false,
2022-01-02 14:00:00,USA,California Independent System Operator,US-CAL-CISO,244.97,321.07,45.88,31.12,caiso.com,false,
2022-01-02 15:00:00,USA,California Independent System Operator,US-CAL-CISO,228.85,301.46,49.77,35.41,caiso.com,false,
2022-01-02 16:00:00,USA,California Independent System Operator,US-CAL-CISO,160.41,218.37,65.97,52.19,caiso.com,false,
2022-01-02 17:00:00,USA,California Independent System Operator,US-CAL-CISO,132.0,184.12,72.5,58.6,caiso.com,false,
