Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Spain,Spain,ES,103.42,143.06,77.7,51.54,entsoe.eu,false,
2021-01-01 01:00:00,Spain,Spain,ES,100.86,139.96,78.42,50.7,entsoe.eu,false,
2021-01-01 02:00:00,Spain,Spain,ES,99.95,138.48,78.94,50.71,entsoe.eu,false,
2021-01-01 03:00:00,Spain,Spain,ES,95.52,133.27,79.79,51.79,entsoe.eu,false,
2021-01-01 04:00:00,Spain,Spain,ES,97.83,135.69,79.63,51.97,entsoe.eu,false,
2021-01-01 05:00:00,Spain,Spain,ES,90.47,126.95,80.97,53.24,entsoe.eu,false,
2021-01-01 06:00:00,Spain,Spain,ES,86.96,122.51,81.73,54.92,entsoe.eu,false,
2021-01-01 07:00:00,Spain,Spain,ES,86.79,122.23,81.78,55.77,entsoe.eu,false,
2021-01-01 08:00:00,Spain,Spain,ES,78.75,112.88,83.47,58.56,entsoe.eu,false,
2021-01-01 09:00:00,Spain,Spain,ES,74.66,108.31,84.46,61.56,entsoe.eu,false,
2021-01-01 10:00:00,Spain,Spain,ES,68.4,101.26,85.54,63.45,entsoe.eu,false,
2021-01-01 11:00:00,Spain,Spain,ES,64.07,96.26,86.33,64.74,entsoe.eu,false,
2021-01-01 12:00:00,Spain,Spain,ES,65.84,98.26,86.12,65.01,entsoe.eu,false,
2021-01-01 13:00:00,Spain,Spain,ES,70.76,104.23,84.88,63.85,entsoe.eu,false,
2021-01-01 14:00:00,Spain,Spain,ES,74.17,107.73,84.54,62.68,entsoe.eu,false,
2021-01-01 15:00:00,Spain,Spain,ES,80.14,114.66,83.17,60.45,entsoe.eu,false,
2021-01-01 16:00:00,Spain,Spain,ES,82.86,117.54,82.46,58.52,entsoe.eu,false,
2021-01-01 17:00:00,Spain,Spain,ES,78.04,112.1,82.94,59.43,entsoe.eu,false,
2021-01-01 18:00:00,Spain,Spain,ES,77.02,111.4,82.63,59.66,entsoe.eu,false,
2021-01-01 19:00:00,Spain,Spain,ES,76.55,111.05,82.46,59.98,entsoe.eu,false,
2021-01-01 20:00:00,Spain,Spain,ES,76.3,110.16,83.01,59.9,entsoe.eu,false,
2021-01-01 21:00:00,Spain,Spain,ES,76.49,110.59,82.84,59.51,entsoe.eu,false,
2021-01-01 22:00:00,Spain,Spain,ES,78.34,112.71,82.65,57.73,entsoe.eu,false,
2021-01-01 23:00:00,Spain,Spain,ES,87.58,124.11,80.87,54.53,entsoe.eu,false,
2021-01-02 00:00:00,Spain,Spain,ES,92.15,129.45,80.1,53.89,entsoe.eu,false,
2021-01-02 01:00:00,Spain,Spain,ES,94.49,132.08,79.74,53.64,entsoe.eu,false,
2021-01-02 02:00:00,Spain,Spain,ES,98.21,136.35,78.94,52.85,entsoe.eu,false,
2021-01-02 03:00:00,Spain,Spain,ES,96.68,134.87,79.03,52.78,entsoe.eu,false,
2021-01-02 04:00:00,Spain,Spain,ES,95.47,133.07,79.47,53.73,entsoe.eu,false,
2021-01-02 05:00:00,Spain,Spain,ES,97.51,135.48,79.03,53.77,entsoe.eu,false,
2021-01-02 06:00:00,Spain,Spain,ES,101.74,140.73,78.0,53.67,entsoe.eu,false,
2021-01-02 07:00:00,Spain,Spain,ES,86.82,123.61,80.5,55.81,entsoe.eu,false,
2021-01-02 08:00:00,Spain,Spain,ES,81.19,117.39,81.45,58.51,entsoe.eu,false,
2021-01-02 09:00:00,Spain,Spain,ES,75.85,110.88,83.0,62.01,entsoe.eu,false,
2021-01-02 10:00:00,Spain,Spain,ES,67.6,101.38,84.67,64.25,entsoe.eu,false,
2021-01-02 11:00:00,Spain,Spain,ES,67.14,101.11,84.85,64.63,entsoe.eu,false,
2021-01-02 12:00:00,Spain,Spain,ES,68.54,102.87,84.45,64.56,entsoe.eu,false,
2021-01-02 13:00:00,Spain,Spain,ES,71.43,105.96,84.12,64.46,entsoe.eu,false,
2021-01-02 14:00:00,Spain,Spain,ES,80.68,116.76,82.43,62.74,entsoe.eu,false,
2021-01-02 15:00:00,Spain,Spain,ES,88.81,126.02,80.84,60.92,entsoe.eu,false,
2021-01-02 16:00:00,Spain,Spain,ES,92.31,130.09,79.52,59.38,entsoe.eu,false,
2021-01-02 17:00:00,Spain,Spain,ES,87.61,124.25,80.06,60.48,entsoe.eu,false,
2021-01-02 18:00:00,Spain,Spain,ES,83.97,119.95,80.63,61.33,entsoe.eu,false,
2021-01-02 19:00:00,Spain,Spain,ES,83.95,120.11,80.55,60.86,entsoe.eu,false,
2021-01-02 20:00:00,Spain,Spain,ES,83.49,119.45,80.8,57.47,entsoe.eu,false,
2021-01-02 21:00:00,Spain,Spain,ES,82.79,118.69,80.99,58.55,entsoe.eu,false,
2021-01-02 22:00:00,Spain,Spain,ES,92.17,130.28,79.03,55.43,entsoe.eu,false,
2021-01-02 23:00:00,Spain,Spain,ES,107.93,149.14,76.03,52.71,entsoe.eu,false,
2021-01-03 00:00:00,Spain,Spain,ES,104.29,144.53,77.24,52.92,entsoe.eu,false,
2021-01-03 01:00:00,Spain,Spain,ES,99.99,139.21,78.37,53.12,entsoe.eu,false,
2021-01-03 02:00:00,Spain,Spain,ES,99.61,138.75,78.45,52.73,entsoe.eu,false,
2021-01-03 03:00:00,Spain,Spain,ES,103.34,142.99,77.87,52.28,entsoe.eu,false,
2021-01-03 04:00:00,Spain,Spain,ES,102.02,141.89,77.91,51.98,entsoe.eu,false,
2021-01-03 05:00:00,Spain,Spain,ES,103.48,143.49,77.65,51.41,entsoe.eu,false,
2021-01-03 06:00:00,Spain,Spain,ES,101.32,140.97,77.93,51.0,entsoe.eu,false,
2021-01-03 07:00:00,Spain,Spain,ES,104.01,144.22,77.35,51.48,entsoe.eu,false,
2021-01-03 08:00:00,Spain,Spain,ES,97.78,137.9,78.06,53.59,entsoe.eu,false,
2021-01-03 09:00:00,Spain,Spain,ES,80.95,118.32,81.49,58.63,entsoe.eu,false,
2021-01-03 10:00:00,Spain,Spain,ES,79.37,116.42,81.87,60.33,entsoe.eu,false,
2021-01-03 11:00:00,Spain,Spain,ES,73.13,108.72,83.32,62.31,entsoe.eu,false,
2021-01-03 12:00:00,Spain,Spain,ES,69.63,104.52,84.18,63.22,entsoe.eu,false,
2021-01-03 13:00:00,Spain,Spain,ES,68.27,102.85,84.53,63.38,entsoe.eu,false,
2021-01-03 14:00:00,Spain,Spain,ES,65.75,99.54,85.19,63.62,entsoe.eu,false,
2021-01-03 15:00:00,Spain,Spain,ES,76.68,112.97,82.54,60.09,entsoe.eu,false,
2021-01-03 16:00:00,Spain,Spain,ES,92.0,131.13,78.76,56.44,entsoe.eu,false,
2021-01-03 17:00:00,Spain,Spain,ES,97.39,137.16,77.47,55.29,entsoe.eu,false,
2021-01-03 18:00:00,Spain,Spain,ES,94.78,133.52,78.09,54.06,entsoe.eu,false,
2021-01-03 19:00:00,Spain,Spain,ES,95.44,134.2,77.94,52.33,entsoe.eu,false,
2021-01-03 20:00:00,Spain,Spain,ES,96.49,135.66,77.62,52.11,entsoe.eu,false,
2021-01-03 21:00:00,Spain,Spain,ES,94.91,133.17,78.43,52.13,entsoe.eu,false,
2021-01-03 22:00:00,Spain,Spain,ES,93.21,131.17,79.01,51.53,entsoe.eu,false,
2021-01-03 23:00:00,Spain,Spain,ES,107.04,148.46,76.05,45.33,entsoe.eu,false,
2021-01-04 00:00:00,Spain,Spain,ES,118.09,162.02,73.86,44.08,entsoe.eu,false,
2021-01-04 01:00:00,Spain,Spain,ES,111.41,153.58,75.69,45.63,entsoe.eu,false,
2021-01-04 02:00:00,Spain,Spain,ES,111.45,153.71,75.68,44.48,entsoe.eu,false,
2021-01-04 03:00:00,Spain,Spain,ES,111.37,153.79,75.62,44.62,entsoe.eu,false,
2021-01-04 04:00:00,Spain,Spain,ES,114.32,157.59,74.87,45.75,entsoe.eu,false,
2021-01-04 05:00:00,Spain,Spain,ES,107.25,149.36,75.76,49.13,entsoe.eu,false,
2021-01-04 06:00:00,Spain,Spain,ES,114.14,158.04,73.75,49.98,entsoe.eu,false,
2021-01-04 07:00:00,Spain,Spain,ES,130.75,178.0,70.35,48.8,entsoe.eu,false,
2021-01-04 08:00:00,Spain,Spain,ES,127.65,173.95,71.36,51.32,entsoe.eu,false,
2021-01-04 09:00:00,Spain,Spain,ES,124.76,171.01,71.9,52.68,entsoe.eu,false,
2021-01-04 10:00:00,Spain,Spain,ES,124.9,171.84,71.63,52.81,entsoe.eu,false,
2021-01-04 11:00:00,Spain,Spain,ES,120.4,166.24,72.75,53.99,entsoe.eu,false,
2021-01-04 12:00:00,Spain,Spain,ES,119.95,165.6,72.88,54.5,entsoe.eu,false,
2021-01-04 13:00:00,Spain,Spain,ES,118.93,164.8,72.74,54.01,entsoe.eu,false,
2021-01-04 14:00:00,Spain,Spain,ES,119.84,165.93,72.36,53.43,entsoe.eu,false,
2021-01-04 15:00:00,Spain,Spain,ES,129.02,177.39,70.12,50.39,entsoe.eu,false,
2021-01-04 16:00:00,Spain,Spain,ES,148.71,200.59,66.27,46.57,entsoe.eu,false,
2021-01-04 17:00:00,Spain,Spain,ES,155.07,207.46,65.31,45.02,entsoe.eu,false,
2021-01-04 18:00:00,Spain,Spain,ES,147.15,197.51,67.06,45.77,entsoe.eu,false,
2021-01-04 19:00:00,Spain,Spain,ES,139.94,188.81,68.58,44.98,entsoe.eu,false,
2021-01-04 20:00:00,Spain,Spain,ES,139.17,188.12,68.57,44.53,entsoe.eu,false,
2021-01-04 21:00:00,Spain,Spain,ES,134.04,182.8,68.99,43.4,entsoe.eu,false,
2021-01-04 22:00:00,Spain,Spain,ES,122.26,167.84,72.18,44.49,entsoe.eu,false,
2021-01-04 23:00:00,Spain,Spain,ES,111.31,153.83,75.25,45.07,entsoe.eu,false,
2021-01-05 00:00:00,Spain,Spain,ES,116.71,159.95,74.53,43.38,entsoe.eu,false,
2021-01-05 01:00:00,Spain,Spain,ES,115.6,158.1,75.34,42.36,entsoe.eu,false,
2021-01-05 02:00:00,Spain,Spain,ES,117.26,160.13,75.02,41.41,entsoe.eu,false,
2021-01-05 03:00:00,Spain,Spain,ES,124.16,167.87,74.05,40.18,entsoe.eu,false,
2021-01-05 04:00:00,Spain,Spain,ES,121.17,164.6,74.33,40.93,entsoe.eu,false,
2021-01-05 05:00:00,Spain,Spain,ES,119.32,162.92,74.12,42.28,entsoe.eu,false,
2021-01-05 06:00:00,Spain,Spain,ES,138.23,187.26,69.26,41.4,entsoe.eu,false,
