zone_code,mean,cv
AT,219.97212328767125,0.13366550419599815
AU-NSW,655.3585228310502,0.09624612012424935
AU-QLD,686.1951369863013,0.09676935748256359
AU-SA,205.71337328767123,0.30355017410596274
AU-TAS,22.47599315068493,0.08831416676607608
AU-VIC,591.279555936073,0.08986048076645473
AU-WA,469.09626826484015,0.1909198498458615
BA,534.0289634703196,0.12617831150857853
BE,167.3585605022831,0.14346437181802138
BG,476.26205136986306,0.05748889118413033
BR-CS,172.5510696347032,0.06805769042886194
BR-N,183.33214269406395,0.0661511185544558
CA-ON,49.55615867579909,0.3477629988470005
CA-QC,28.542375570776258,0.0149997415525281
CH,137.09711415525115,0.2173689652555538
CL-SEN,252.3881426940639,0.14594130187263218
CY,967.5598219178081,0.1151516715570873
CZ,527.2493698630136,0.059236429388661346
DE,445.6956632420091,0.13621923783084078
DK-BHM,62.180743150684926,0.35135548353895674
DK-DK1,211.4564200913242,0.184309903982815
DK-DK2,207.44145205479452,0.17283070583257043
EE,390.3122831050229,0.09563378770862989
ES,177.90823515981734,0.11696981732054594
FI,179.8839086757991,0.06496847984301145
FR,63.735050228310506,0.1319537396301511
GB-NIR,388.7023184931507,0.1597302145873227
GB,247.97649771689498,0.1494812869838698
GR,440.24336643835613,0.1385909625290502
HK,435.3599999999999,0.0
HR,279.4248698630137,0.10477500597486467
HU,302.34662899543383,0.07702278909744181
ID,652.36,0.0
IE,411.1150787671233,0.13733969842927937
IL,574.073899543379,0.03029558441873091
IN-MH,728.1563584474886,0.019346143251875565
IN-UP,733.830135844749,0.024364365374803725
IN-WE,609.6177716894978,0.06697640946915553
IT-CNO,304.0370890410959,0.11012983257639929
IT-CSO,413.6742728310502,0.1376879862748601
IT-NO,333.7983938356165,0.07355020773682511
IT-SAR,603.8437876712329,0.12136054906996008
IT-SIC,422.61469292237445,0.19847875627379902
IT-SO,397.24343721461184,0.16858487651488854
JP-KN,459.3867682648402,0.05398015225680244
JP-TK,555.553897260274,0.07492970368163192
KR,490.61082990867584,0.027984213728872966
LT,316.34094406392694,0.15732975205615615
LU,358.33884817351594,0.1712277226969832
LV,318.23696689497723,0.18002497193665754
NL,440.51755936073056,0.09415162213353642
NO-NO1,31.212339041095888,0.08970261962839032
NO-NO2,37.002915525114155,0.23649375096849223
NO-NO3,25.636650684931507,0.03336238902240825
NO-NO4,29.885454337899546,0.038438719416285
NO-NO5,37.957424657534254,0.07120852439497424
NZ,92.11905707762557,0.0611964596257887
PA,230.14275799086758,0.08724522767903799
PE,192.57744292237444,0.06642010887735318
PL,855.1772705479452,0.053596557807901755
