migration,Asia,Americas,Global,Europe,Oceania
one,159.6915839041096,355.9370913635648,352.4758895107102,281.2426610096398,334.3880459882584
inf,167.57416495433787,357.2897500393639,353.56610183947737,282.27142356671743,334.6522526092628
one_high,2.2009851600829506,2.002465458054587,1.9795998784593394,2.0153675699129394,2.4469118487916717
one_low,2.2009851600829506,2.002465458054587,1.9795998784593394,2.0153675699129394,2.4469118487916717
inf_high,2.2009851600829506,2.002465458054587,1.9795998784593394,2.0153675699129394,2.4469118487916717
inf_low,2.2009851600829506,2.002465458054587,1.9795998784593394,2.0153675699129394,2.4469118487916717
