zonecode,2020,2021,2022
AT,190.85306466302367,219.97212328767125,244.51572602739722
AU-NSW,692.2323542805101,655.3585228310502,592.9234143835615
AU-QLD,707.274048269581,686.1951369863013,657.0628424657534
AU-SA,238.54954690346082,205.71337328767123,179.61434474885846
AU-TAS,25.227862021857923,22.47599315068493,26.73400228310502
AU-VIC,637.5258401639345,591.279555936073,541.0684280821918
AU-WA,492.4862898451731,469.09626826484015,434.8869691780822
BA,583.7265585154827,533.967296803653,581.5518995433789
BE,223.46302367941712,167.3585605022831,171.3494280821918
BG,418.7253574681239,476.26205136986306,535.5372340182648
BR-CS,103.4713012295082,172.5510696347032,101.60296689497717
BR-N,158.5042065118397,183.33214269406395,105.05789726027396
CA-ON,41.20016734972677,49.55615867579909,59.141563926940634
CA-QC,28.918033925318763,28.542375570776258,28.471166666666665
CH,104.70785860655737,137.09711415525115,152.3134703196347
CL-SEN,243.01488843351547,252.3881426940639,211.88424315068494
CY,929.7464867941712,967.5598219178081,949.7636461187216
CZ,491.10684198542805,527.2493698630136,545.6372420091324
DE,392.7220434881603,445.6956632420091,481.4542100456621
DK-BHM,48.53803051001822,62.180743150684926,66.51640867579908
DK-DK1,168.65252049180327,211.4564200913242,200.60849657534246
DK-DK2,176.30736111111113,207.44145205479452,159.95328082191782
EE,324.43223246812386,390.3122831050229,377.80571575342464
ES,184.9160018214936,177.90823515981734,211.46014269406393
FI,152.19085040983606,179.8839086757991,147.17525
FR,63.266033697632054,63.735050228310506,99.44588242009134
GB-NIR,349.88129667577414,388.7023184931507,354.6050878995434
GB,230.69646402550092,247.97649771689498,234.79788356164383
GR,482.33930783242266,440.24336643835613,433.91603196347035
HK,435.3599999999999,435.3599999999999,435.3599999999999
HR,267.54371584699453,279.4248698630137,310.8345696347032
HU,295.596656420765,302.34662899543383,298.2814703196347
ID,652.36,652.36,652.36
IE,383.7414264571949,411.1150787671233,397.21772945205475
IL,570.230742258652,574.073899543379,577.2022363013698
IN-MH,724.0455555555554,728.1563584474886,731.024582191781
IN-UP,728.4277641165756,733.830135844749,731.5320593607307
IN-WE,578.2676035974499,609.6177716894978,614.7593310502282
IT-CNO,297.18984403460837,304.0370890410959,352.3581061643835
IT-CSO,441.2342201730419,413.6742728310502,461.0920148401826
IT-NO,310.30635018214934,333.7983938356165,375.35323744292236
IT-SAR,632.5067714025499,603.8437876712329,613.1161575342466
IT-SIC,419.6262989526412,422.61469292237445,477.221946347032
IT-SO,414.2760359744991,397.24343721461184,448.8693710045662
