job,Asia,Americas,Global,Europe,Oceania
1,19.23625049615582,39.849611930206216,41.78825748544733,48.52682373582547,54.78735803403099
6,17.07612210856019,37.198227435760096,39.04949610220326,45.46473789582059,52.27627621644268
12,12.877114560708046,32.72419637986166,34.3800409813927,40.87016701836437,44.59256781334921
24,7.321414283443957,26.87619033498187,28.36105938962452,35.775776038531184,30.58797143796039
48,6.854683201620471,24.011115278690703,25.64942746514611,32.45258972572397,28.98258461150422
96,6.156087251470613,20.2509632250212,22.17246411885683,28.441836466100373,26.180771590605218
168,5.384405044592935,17.403983852368707,18.95682702503194,24.08380239060744,22.808476684161434
