multiplier,AT,AU-NSW,AU-QLD,AU-SA,AU-TAS,AU-VIC,AU-WA,BA,BE,BG,BR-CS,BR-N,CA-ON,CA-QC,CH,CL-SEN,CY,CZ,DE,DK-BHM,DK-DK1,DK-DK2,EE,ES,FI,FR,GB-NIR,GB,GR,HK,HR,HU,ID,IE,IL,IN-MH,IN-UP,IN-WE,IT-CNO,IT-CSO,IT-NO,IT-SAR,IT-SIC,IT-SO,JP-TK,JP-KN,KR,LT,LU,LV,NL,NO-NO1,NO-NO2,NO-NO3,NO-NO4,NO-NO5,NZ,PA,PE,PL,PT,RO,SE-SE1,SE-SE2,SE-SE3,SE-SE4,SG,SI,SK,TR,TW,US-CAL-BANC,US-CAL-CISO,US-CAL-LDWP,US-CAL-TIDC,US-CAR-CPLE,US-CAR-CPLW,US-CAR-DUK,US-CAR-SC,US-CAR-SCEG,US-CENT-SPA,US-CENT-SWPP,US-FLA-FMPP,US-FLA-FPC,US-FLA-FPL,US-FLA-GVL,US-FLA-JEA,US-FLA-TAL,US-FLA-TEC,US-HI-OA,US-MIDA-PJM,US-MIDW-AECI,US-MIDW-LGEE,US-MIDW-MISO,US-NE-ISNE,US-NW-BPAT,US-NW-CHPD,US-NW-DOPD,US-NW-GCPD,US-NW-GRID,US-NW-IPCO,US-NW-NEVP,US-NW-NWMT,US-NW-PACE,US-NW-PACW,US-NW-PGE,US-NW-PSCO,US-NW-PSEI,US-NW-SCL,US-NW-TPWR,US-NW-WACM,US-NY-NYIS,US-SE-SOCO,US-SW-AZPS,US-SW-EPE,US-SW-PNM,US-SW-SRP,US-SW-TEPC,US-SW-WALC,US-TEN-TVA,US-TEX-ERCO,UY,ZA
0,135.0921264079136,593.3435244395235,657.2851016340423,179.99738643703887,27.01062420356211,540.9326419055689,435.3039493419656,599.1462390354603,178.14015343349186,538.676494708478,106.63638799104831,143.4672169245416,60.64241774042802,29.36358845301708,56.5149475490629,179.68982494767,822.5919646671304,522.8414765225909,509.180999573732,76.52297243523039,264.4015391483169,234.14290954233877,863.343622669425,213.63713306605845,169.76724389402344,82.129456777829,343.6521824015837,237.58174071817558,426.4896982208166,435.36000000000007,304.90428755758165,285.78165065633317,689.5,401.470223723163,577.1894978664811,730.967768749258,731.5199445094745,626.0805987597134,431.1848331796026,462.5190809800895,456.7303724667197,616.5223478320736,479.7394910364014,449.6254840448216,566.144018281445,457.07000241836516,490.8037368604087,197.54052198103162,157.71007702705322,216.3935899247764,417.78339350244147,25.55477126446393,26.323401293024286,24.0423069811973,44.62811252518938,31.701396002148446,109.7992603758507,243.712220688099,206.37801808940597,869.3294074594723,238.09039214073965,483.3552572074341,12.636372031977547,15.648954168790363,25.25837802011902,71.86848489650762,490.6435481158551,268.49638700566874,162.68006049969662,410.54756506296616,535.7892273969022,356.16715271040573,262.2120330529632,509.89115219461826,531.1312092992988,308.317990547597,515.256842851175,296.87063338596147,764.9979332209896,406.0336148826161,278.4282017835827,468.40590607812635,583.4448731148623,532.1962719876824,380.74790092771417,717.5454810070952,781.5360075377602,461.87738022153445,573.2010685543254,918.1272631427748,425.85015640715807,739.6847048585115,920.9865995706231,569.2862004705944,348.55808290887535,64.15061945693876,23.971126022993005,23.999999999999996,23.999999999999996,488.40699626118476,159.32725561890524,514.603668783286,724.5725109686099,681.2413704130746,398.4908918865795,375.01054890291306,547.6440138311785,266.79584189856644,23.999999999999996,23.999999999999996,792.1552638180589,293.5064457973148,469.7007210667569,694.4679153293763,623.55520747035,589.0344450196852,243.67234692876747,719.0801149362593,669.4732477447818,343.1911233197492,401.7946088882856,95.16671646545889,705.1701220315175
20,57.17510899893331,433.6650210638114,497.9059683102052,104.74776090786077,22.356186780042542,381.3489790242538,278.23253842959406,460.5172513952016,77.88299331724834,328.5203229976988,39.97136290779079,51.029606301587364,16.043509423509796,23.204547389159075,34.595975594623766,116.16121717865282,604.6683912057262,314.29548381988826,285.3634461624636,55.217375984837425,117.0749078884534,96.44532876034631,685.907485928232,93.81401621286588,30.435442906870414,9.954192169447532,210.0242005913368,141.04770084681206,201.78817076074102,435.36000000000007,142.97187784363024,119.42777666682056,689.5,257.62142080284303,499.6568013436056,571.0036234842192,654.7947350509139,465.99443864826907,320.31375648842993,270.925891097717,328.9154193261314,404.20151437307607,305.4222364217764,268.0070305483033,406.1314648778389,375.317888170238,413.04087493744134,85.07450520824399,90.75957126664191,146.65734938922873,266.51371988487546,23.314298680415163,22.096880025832046,20.976899130325577,22.311035133593442,23.74501066316277,31.469273222656632,99.19287190495788,112.23911309362047,652.3201728070384,146.62099380607302,236.47675733905186,11.122529094406174,11.354639695944385,9.547066439884988,34.12523998861506,438.43305721531567,149.3431770018085,70.47506141379806,250.10139400810294,376.0166874916273,305.8236709801767,159.5414090590325,346.6436030875542,531.1312092992988,226.08181996101456,472.413596281432,191.3385601784502,652.4198225983538,324.14215027467924,278.4282017835827,265.05279590276245,502.7127461161013,474.21012918253166,326.01098489999407,717.5454810070952,701.7602979494683,420.70533001582686,500.9239870404235,713.0753267025864,229.0780871715706,545.6919865135791,834.9525134753551,357.4280331413963,232.82813992320484,23.0048438188028,23.971126022993005,23.999999999999996,23.999999999999996,351.6628597901514,68.3561216849865,361.59440539979886,514.8973424232415,462.95832250026564,267.37906964079065,374.94567963052435,327.7092087117159,181.1447573156047,23.999999999999996,23.999999999999996,570.044098081309,189.1928838512689,350.2216069391033,484.445305628558,555.090130329562,348.05711689102674,123.38110726702575,498.6875617731726,516.5780286554539,242.56476090106088,207.41824506527433,46.12457656492088,546.0269844483137
40,18.889175952044027,275.1904421125445,338.560148747991,59.52817966383554,22.353891694245593,221.97021713189542,156.20752058174926,323.47482488731794,24.403913653999,120.65314595796961,40.07668618208054,22.15699987645521,16.86311885075954,23.183980021992213,35.88608209677551,63.814206067518846,399.8010759477461,112.0023869693688,110.44463243334641,39.7803634977291,50.18076945586487,49.53445057142286,485.2966821301515,30.3331099964329,10.958140657125472,12.496872897830492,128.39922236947868,68.11494223554762,110.87966746369321,435.36000000000007,74.1638902009052,33.82009731557134,689.5,154.9834298312044,440.80567955391933,411.03947821918047,578.0695255923536,305.910218854482,212.955320042155,148.76059779029572,219.37186303559469,224.65098830676612,191.4436523994358,157.87402899647185,250.35015273176057,308.45185578151546,335.281452772877,45.6624763786121,54.00349052524427,101.00508338044217,155.33738429031712,23.314298680415163,22.096880025832046,20.976899130325577,22.311035133593442,23.74501066316277,20.881169872441497,46.30500517270828,44.95869074417313,435.3143710783802,70.30825098040766,40.05396445735099,11.122529094406174,11.354639695944385,12.319320178243352,19.5414869968169,386.2225663147762,103.38711973684323,60.44860081517617,109.10024342861125,231.34459407898575,255.79237164812213,79.11239794819011,236.15679044426633,531.1312092992988,174.17679574660824,429.8100172841371,134.47735326478687,542.0965545594729,269.5190436087236,278.4282017835827,110.55935543951828,438.80698226459884,418.6534167588262,271.2581722301018,717.5454810070952,625.1406774457073,379.533228803113,444.6231961172963,525.2703462197574,120.46025533507893,351.884396523747,748.9184458189809,164.57869983374692,133.44802805906698,23.063151614626847,23.971126022993005,23.999999999999996,23.999999999999996,232.61989684459857,25.066205981085492,261.59868310569505,305.2827230536361,253.2461574103682,155.0336774254496,374.88109023297375,147.44572336697337,109.33717169311717,23.999999999999996,23.999999999999996,347.93292875999015,84.95976050441473,279.05576158645584,287.9441515061233,486.6250100056269,158.68890906544212,57.011873544420325,290.9267570331542,363.68420952848385,192.84363587830484,111.01158062729988,24.938426015494954,386.88384686510966
60,12.921052756281185,132.87062118472193,187.11007121112908,33.708796844913,22.353891694245593,84.8047082834477,76.24987258969706,198.73784510775695,16.406315512895127,16.996935167461466,40.07668618208054,21.429230351664756,19.807358842083865,23.178885827054216,36.71195502902606,34.36922307243544,250.74649024060503,18.342114584919784,36.084841282753246,29.49902597425297,26.14608935580822,29.612803033478354,266.09467600648014,17.413349341429026,11.834207426852839,15.04281510122053,67.33856198099558,26.13781777914965,48.13221549037575,435.36000000000007,33.03579264584486,17.732571746066238,689.5,78.4542326079368,396.28690542142954,251.07533295414163,501.3443161337931,147.48499120615256,121.15008090550555,68.83971132128742,114.4242679293834,112.02515801596134,99.76344590346811,72.79765526233251,147.09747408346433,262.67360456667814,287.4665038875944,26.601222394303658,34.812791423173714,64.17901002437515,68.0922782917183,23.314298680415163,22.096880025832046,20.976899130325577,22.311035133593442,23.74501066316277,20.881169872441497,26.814832421425905,22.715995756377556,221.31433278240968,27.591216434182694,15.586315776147593,11.122529094406174,11.354639695944385,15.091178311065947,15.46511191660982,334.0120754142368,102.42385909710129,63.49202538137987,29.418441808572663,135.30096057681072,214.75549137162383,29.66674963060157,151.00575404747133,531.1312092992988,156.36323592662978,385.40688818706724,125.11014518475746,461.1893356524149,225.47050867432623,278.4282017835827,40.91253480603208,382.9560405353939,363.1868828481208,213.85364726935387,717.5454810070952,556.7263017949792,338.36117726793475,388.3900934591977,338.043732919206,29.138334453930522,175.9832269893975,662.99922144963,62.77598584587585,41.46624367179161,23.06311487488422,23.971126022993005,23.999999999999996,23.999999999999996,138.38677289430876,20.200731029852815,166.40043833603917,112.68770692679581,99.14737763165826,76.40763806256219,374.82122912566865,57.59640573685275,58.952067964026234,23.999999999999996,23.999999999999996,127.95362844902193,18.169078284219196,210.77587030716285,151.57400968795204,418.2924073881575,59.641912587116366,41.20988435111882,132.00681046140184,210.89920270034403,176.29592495785437,41.96306974819935,19.664344720916546,227.74070928190565
80,12.914009058750278,36.60474125094898,67.50498396738328,21.92405119236799,22.353891694245593,26.424412680559985,33.512999291520956,125.317024375628,18.373047966474097,15.680869272984461,40.07668618208054,21.429230351664756,20.71849848897686,23.178885827054216,36.77576863821527,26.961957599730972,116.96126701462615,17.53567865577275,19.28047160239706,22.988960294290745,19.0853916044105,19.61955792266833,74.59238376932628,17.873264534981168,12.231852553985378,16.966387991896667,28.379762877657907,18.946226955527898,19.6960241852388,435.36000000000007,16.201653043956732,19.72402806819907,689.5,26.833347714634815,351.7681312889397,91.60938825497955,424.6191066752326,33.64116259660525,48.530252901727664,24.742914269443116,34.49115165740849,42.914771322009145,38.676167931441626,26.394145350876393,58.837741059398965,251.38636485359754,270.6334436072208,19.006305481808578,28.411307287466187,40.197000549901574,25.52324576297197,23.314298680415163,22.096880025832046,20.976899130325577,22.311035133593442,23.74501066316277,20.881169872441497,23.93735788065382,22.44838232299829,57.42755995139982,16.129434319873404,15.953341333528323,11.122529094406174,11.354639695944385,17.379505083618685,14.99406593586193,281.8015845136973,103.35013123162435,66.38266867738828,19.226616045581256,44.43202401356186,198.56569239580068,17.816046135199272,86.85956567136995,531.1312092992988,156.93521247496946,330.5539773809425,126.9207778421142,406.7711596055516,215.2212259762755,278.4282017835827,15.670872669344005,327.41141970111755,307.7204100289811,172.67968099364543,717.5454810070952,490.344800695182,297.21145215704104,328.9418559340555,157.83192443532508,17.71685654238872,61.384938966357424,586.7818762999968,16.788421570667275,18.39503824982408,23.06311487488422,23.971126022993005,23.999999999999996,23.999999999999996,60.62920508730145,20.11702182252136,94.75755391423826,22.545980725648825,29.255407603640933,49.333332519115515,374.7806184680139,19.442581757183895,25.405797544397394,23.999999999999996,23.999999999999996,18.592982805003228,13.947461267298094,166.7604369717227,62.53135924288095,354.2347497656595,23.883159887410848,42.125867624086624,39.448990339655104,79.67512296562333,177.68920178647147,15.437988200665492,19.46175069002051,70.98764151915059
100,12.914009058750278,23.072931379465125,24.777794706127768,19.29666590456757,22.353891694245593,21.843650512243507,22.192640821451043,97.82013177892574,19.06076016306932,16.38962523321639,40.07668618208054,21.429230351664756,20.718499637093814,23.178885827054216,36.77551098650099,26.911357789204132,31.362460194161116,19.304296931908247,18.755222084187487,19.882617792124552,17.7830015734977,17.220857492345303,18.784907389823907,17.892311795297022,12.236880373691012,17.115211178268787,13.160388390589853,19.02968627732075,15.90534715824179,435.36000000000007,15.244992626394172,20.940888732439166,689.5,12.571827020872279,317.0401803589267,20.196151983653774,400.1711957609678,19.709591543921192,17.314239387369593,16.13788803199737,15.85677825187194,17.089512294974227,16.018530092740065,15.990889907757861,21.329379297020296,251.7225525255034,273.0082473539156,18.177579847740045,27.3760123395219,30.575899523174932,18.68014058644735,23.314298680415163,22.096880025832046,20.976899130325577,22.311035133593442,23.74501066316277,20.881169872441497,23.923354298129865,22.44838232299829,18.991784953739213,15.234897362734621,15.95446189567831,11.122529094406174,11.354639695944385,17.596204761502282,14.985285137375152,231.4980475025128,103.505505833051,66.91729020319488,19.111247274210204,21.717260894398102,197.58936354310634,17.622866084253374,54.92069344988604,531.1312092992988,157.54878069998284,297.9076820518008,128.1117390222234,400.25163054224316,215.50028926914723,278.4282017835827,14.387697376929435,297.41026589251476,268.278237988928,172.69215592965887,717.5454810070952,429.1974336188354,272.10975726448794,298.4090178768985,51.12137806068735,18.618751669270328,16.964624416768046,544.3784309403542,16.286039125878663,18.985832076855424,23.06311487488422,23.971126022993005,23.999999999999996,23.999999999999996,32.886794115432075,20.11702182252136,33.74766415838984,21.414090105648235,15.4957200381455,47.973164677353545,374.78013166642415,14.18767114264757,17.409630577680904,23.999999999999996,23.999999999999996,16.031327797399634,13.944495681198283,167.61544942553763,19.49825813523378,323.562287242445,16.795478363716217,42.955346344707635,15.714744667066224,48.7542726812859,178.13643267662326,14.759852232043155,19.46175069002051,24.149332406508286
