stats,0,10,20,30,40,50,60,70,80,90,100
avg,0.0,35.350070711289305,70.59362548724802,106.0287934903664,141.37993128410736,176.8446941010506,212.1712383895757,247.32678946244943,282.95537845714074,318.1792423618071,353.56610183947737
high,0.0,4.0611449208368455,8.10477483539185,12.150219203859322,16.217698676673677,20.274208535686427,24.329280188908257,28.383882663718907,32.44158449474651,36.494170699521646,40.55064360380459
low,0.0,4.0611449208368455,8.104774835391794,12.15021920385935,16.21769867667355,20.274208535686483,24.329280188908314,28.383882663718936,32.441584494746394,36.49417069952153,40.550643603804815
