sending_region,receiving_region,milliseconds
asia-northeast2,us-east5,149
australia-southeast2,australia-southeast1,13
europe-west6,us-west2,156
europe-central2,europe-west1,22
europe-central2,asia-southeast1,210
australia-southeast1,europe-west8,286
us-central1,europe-west2,94
northamerica-northeast1,asia-south2,238
europe-west9,europe-central2,24
us-east1,northamerica-northeast1,25
asia-southeast1,us-west4,169
asia-northeast3,asia-east2,37
asia-southeast1,europe-west1,196
asia-south2,australia-southeast1,160
europe-north1,us-central1,125
asia-southeast2,europe-north1,237
us-east5,us-west2,63
europe-west1,us-central1,103
asia-southeast1,us-south1,200
us-west4,us-east5,57
europe-west4,us-west2,147
europe-southwest1,us-west3,137
europe-north1,europe-west9,42
australia-southeast2,europe-west1,283
europe-west6,europe-central2,21
australia-southeast2,europe-southwest1,299
asia-northeast1,us-west2,100
asia-east1,europe-west1,253
asia-northeast2,asia-northeast1,9
us-west1,australia-southeast1,137
northamerica-northeast2,us-west4,61
northamerica-northeast2,us-south1,33
northamerica-northeast2,europe-west2,84
asia-south2,northamerica-northeast1,237
europe-central2,asia-northeast1,246
europe-west6,northamerica-northeast1,93
europe-north1,asia-northeast1,247
europe-west3,asia-northeast3,256
us-west2,northamerica-northeast2,67
australia-southeast1,europe-north1,293
asia-south1,asia-northeast3,129
southamerica-east1,us-east4,114
us-south1,australia-southeast1,171
us-west4,southamerica-east1,162
us-west2,europe-west4,147
us-south1,europe-west6,124
europe-central2,asia-east2,241
asia-south2,europe-central2,171
us-south1,asia-northeast1,133
asia-south2,us-east4,231
us-east1,europe-west4,97
australia-southeast1,us-west3,150
europe-west6,us-central1,114
us-central1,us-east5,18
us-west2,asia-southeast1,163
northamerica-northeast1,us-east4,14
asia-south1,us-east5,223
us-east4,asia-southeast1,211
europe-north1,us-west3,145
europe-central2,northamerica-northeast2,109
europe-west4,us-south1,117
europe-southwest1,asia-south2,158
australia-southeast1,europe-west1,271
asia-south1,southamerica-west1,328
us-west4,asia-northeast3,132
asia-east2,europe-central2,242
europe-west2,us-south1,105
us-south1,us-west4,28
asia-south1,us-west1,216
europe-southwest1,asia-northeast2,250
asia-east1,europe-west3,255
asia-east1,europe-west4,252
europe-west8,europe-west4,16
europe-north1,us-east5,118
us-east5,northamerica-northeast2,21
us-west2,europe-central2,166
europe-west9,europe-west1,4
us-south1,europe-north1,133
europe-west4,asia-southeast2,212
australia-southeast2,europe-north1,305
us-central1,northamerica-northeast1,28
us-west4,europe-west3,145
asia-northeast2,us-south1,140
europe-west8,asia-northeast3,266
europe-west8,asia-northeast2,248
us-east4,europe-west3,87
us-central1,us-west4,40
europe-west3,australia-southeast1,278
southamerica-east1,europe-west1,193
us-west2,us-south1,34
europe-west4,asia-northeast2,232
asia-southeast1,us-east5,213
asia-southeast2,asia-northeast1,82
europe-west4,asia-northeast3,250
europe-southwest1,asia-east1,242
asia-northeast1,europe-west3,230
us-west3,australia-southeast2,162
europe-west3,europe-north1,33
southamerica-east1,us-south1,134
asia-southeast1,southamerica-east1,321
us-central1,southamerica-east1,139
asia-northeast1,asia-east2,49
northamerica-northeast1,asia-southeast1,216
us-west4,us-west3,19
southamerica-east1,europe-central2,214
us-west2,asia-south1,224
europe-west6,asia-northeast1,235
asia-south1,us-west3,236
europe-central2,australia-southeast1,293
us-west4,europe-west4,141
asia-south2,europe-west4,161
asia-northeast3,us-south1,159
australia-southeast2,asia-northeast2,140
asia-east1,southamerica-east1,284
australia-southeast1,europe-west4,270
asia-southeast2,us-west2,177
europe-west4,us-west3,122
europe-west8,europe-north1,42
us-west4,us-east1,55
us-west2,europe-west8,159
europe-west8,us-west4,153
us-west3,europe-southwest1,138
us-west4,asia-south2,237
asia-southeast1,us-east1,223
europe-southwest1,us-east4,95
us-central1,asia-northeast2,143
asia-southeast2,europe-west1,209
asia-south1,asia-northeast2,135
europe-west4,us-west1,134
asia-south1,asia-southeast2,73
us-south1,asia-southeast2,213
us-central1,us-east4,23
australia-southeast2,asia-southeast1,84
asia-east2,us-south1,172
europe-west8,europe-central2,24
australia-southeast2,us-south1,182
us-west2,asia-northeast3,126
europe-west2,australia-southeast2,274
northamerica-northeast1,southamerica-west1,134
europe-west3,us-east1,98
us-east1,europe-west8,105
europe-west8,europe-west9,18
europe-north1,europe-west6,34
europe-north1,us-south1,133
us-east4,us-west2,65
us-east1,europe-north1,113
us-west4,us-west2,6
us-south1,australia-southeast2,182
us-west4,northamerica-northeast1,67
asia-southeast1,us-west2,163
europe-west1,asia-east1,253
australia-southeast2,southamerica-east1,306
europe-west1,us-west2,145
us-west3,northamerica-northeast1,49
europe-west1,europe-north1,31
europe-west8,europe-west6,5
europe-west2,us-central1,94
us-west3,us-west4,19
europe-west2,us-west2,139
europe-west3,asia-south2,155
us-east1,us-west4,55
europe-west3,europe-central2,15
us-east4,northamerica-northeast1,14
europe-west1,us-west4,139
europe-west3,southamerica-east1,199
asia-southeast1,europe-west2,200
us-south1,asia-east2,172
europe-southwest1,us-west1,150
northamerica-northeast1,asia-northeast2,159
us-west2,europe-west6,157
europe-west3,australia-southeast2,290
europe-north1,asia-east2,256
asia-southeast1,europe-north1,224
asia-southeast1,us-west3,176
asia-southeast2,asia-east2,49
us-west1,asia-northeast2,99
asia-east2,europe-southwest1,229
europe-west4,southamerica-west1,208
asia-northeast3,asia-southeast1,71
northamerica-northeast1,asia-east1,178
us-central1,australia-southeast2,187
us-west1,asia-southeast1,158
us-west4,us-central1,40
us-west2,asia-east2,139
asia-northeast1,us-east4,146
us-west3,europe-west3,128
asia-east2,europe-north1,256
asia-southeast1,southamerica-west1,273
australia-southeast2,asia-south1,144
us-east5,asia-southeast1,214
australia-southeast2,asia-east2,120
southamerica-west1,asia-northeast3,231
us-east4,asia-northeast2,154
asia-northeast2,asia-southeast1,79
europe-west4,europe-north1,30
europe-west4,europe-west1,7
australia-southeast1,europe-central2,293
europe-central2,europe-west8,24
northamerica-northeast1,asia-southeast2,230
asia-southeast1,us-east4,211
us-east1,europe-west9,89
us-east4,asia-south2,230
europe-west3,asia-southeast1,192
europe-west1,europe-central2,22
us-east5,asia-east1,168
us-west3,asia-southeast2,189
