sending_region,receiving_region,milliseconds
asia-northeast3,europe-west9,250
europe-west3,northamerica-northeast1,88
europe-west9,europe-west3,10
us-west1,us-west4,30
us-east1,asia-southeast2,235
europe-west8,us-east4,94
southamerica-west1,us-west2,106
us-south1,southamerica-west1,118
us-west3,us-west2,13
asia-southeast1,australia-southeast1,93
europe-southwest1,us-east5,105
australia-southeast2,asia-northeast3,159
us-west3,asia-northeast1,112
us-west4,europe-west2,133
northamerica-northeast1,us-west1,60
asia-southeast2,europe-west8,196
northamerica-northeast1,australia-southeast1,197
northamerica-northeast1,europe-west6,93
asia-northeast3,us-west1,117
europe-west8,asia-east2,216
asia-northeast3,europe-west4,250
us-west2,asia-northeast1,100
asia-southeast1,us-central1,200
asia-south1,australia-southeast2,144
asia-northeast3,europe-west3,256
asia-east1,asia-northeast3,37
us-west3,europe-west1,121
europe-west2,asia-northeast2,225
asia-east1,us-west2,127
europe-west8,northamerica-northeast2,104
europe-west4,us-east1,97
europe-central2,asia-northeast3,272
us-east5,asia-east2,180
us-east5,europe-central2,105
asia-northeast2,northamerica-northeast2,152
us-east5,europe-west4,88
europe-central2,us-south1,132
asia-south2,asia-south1,22
us-west1,asia-east1,119
europe-central2,australia-southeast2,304
southamerica-west1,australia-southeast2,254
europe-southwest1,europe-west9,19
europe-central2,us-east4,101
europe-west9,asia-south2,154
asia-northeast2,us-east1,167
europe-southwest1,asia-southeast2,208
us-east4,europe-west6,92
us-west2,asia-east1,127
us-west3,europe-west9,121
europe-west6,us-south1,124
asia-east2,us-central1,168
australia-southeast2,europe-west9,282
europe-west3,europe-west8,10
asia-southeast2,us-south1,214
asia-south1,europe-west4,140
asia-northeast2,asia-south2,144
europe-west2,us-west3,114
us-east1,us-east5,25
europe-west3,asia-east2,224
southamerica-east1,asia-east1,284
europe-southwest1,australia-southeast1,287
northamerica-northeast2,australia-southeast2,202
asia-south1,northamerica-northeast2,223
us-east4,europe-west4,87
asia-south2,southamerica-east1,343
southamerica-east1,europe-north1,216
us-west4,asia-southeast1,169
us-west1,northamerica-northeast1,60
us-west3,europe-central2,143
australia-southeast1,europe-west9,270
northamerica-northeast2,europe-west1,89
northamerica-northeast1,asia-south1,215
asia-northeast2,europe-southwest1,250
us-south1,asia-northeast2,141
asia-northeast1,northamerica-northeast2,144
asia-northeast3,asia-south1,129
europe-north1,us-west4,161
asia-northeast1,europe-west6,235
asia-southeast2,asia-south1,73
europe-southwest1,asia-northeast1,241
us-south1,us-west1,37
asia-northeast1,northamerica-northeast1,151
us-central1,europe-central2,124
asia-east2,us-east4,186
us-west3,us-east4,44
us-east1,europe-central2,112
southamerica-west1,asia-south1,328
asia-east1,australia-southeast2,129
europe-west3,us-west1,141
us-west1,australia-southeast2,149
us-west2,europe-west9,143
europe-west2,us-east5,81
europe-west6,northamerica-northeast2,101
us-central1,asia-east2,168
asia-east1,us-east4,173
asia-northeast2,asia-northeast3,32
us-south1,europe-southwest1,126
us-west3,asia-south1,236
europe-west8,asia-southeast2,197
us-central1,asia-east1,157
australia-southeast1,asia-east2,128
asia-east1,asia-northeast2,36
asia-east1,southamerica-west1,232
europe-west8,northamerica-northeast1,96
europe-central2,europe-west2,27
europe-west8,us-east5,100
asia-northeast2,us-west4,113
europe-west8,asia-east1,228
europe-southwest1,europe-west3,27
asia-east2,asia-northeast2,48
us-east1,asia-east2,198
europe-central2,europe-west4,21
asia-east2,us-east5,180
us-south1,us-west3,25
us-west4,us-east4,60
australia-southeast1,us-west2,137
southamerica-east1,europe-west8,208
southamerica-west1,europe-west9,199
southamerica-east1,asia-south2,343
asia-south2,northamerica-northeast2,245
europe-west6,australia-southeast2,290
asia-south2,europe-west1,158
asia-northeast1,europe-west4,224
asia-south2,australia-southeast2,152
us-east1,us-west2,61
europe-north1,asia-southeast1,224
europe-west9,asia-south1,134
asia-south2,us-west2,231
asia-northeast3,northamerica-northeast2,171
us-west2,southamerica-west1,106
northamerica-northeast1,northamerica-northeast2,8
asia-southeast1,europe-west6,191
southamerica-east1,europe-west3,199
us-west4,asia-northeast1,106
us-west1,us-east5,50
asia-southeast1,europe-west9,193
europe-southwest1,northamerica-northeast2,108
southamerica-east1,europe-west9,191
asia-northeast3,australia-southeast1,147
australia-southeast1,asia-east1,137
us-south1,asia-south1,256
northamerica-northeast1,europe-southwest1,101
us-east1,europe-southwest1,106
australia-southeast2,us-west3,162
southamerica-east1,us-central1,139
us-west1,us-west2,24
us-east1,asia-south2,242
europe-west2,us-west4,133
asia-south1,us-south1,256
europe-west1,southamerica-west1,201
europe-west4,europe-west2,9
asia-southeast1,northamerica-northeast1,216
asia-northeast1,us-west4,106
asia-southeast2,us-west4,183
europe-central2,europe-north1,19
asia-south2,us-central1,269
europe-north1,europe-west4,31
europe-north1,asia-south2,186
northamerica-northeast1,asia-northeast1,151
us-east4,us-east5,18
asia-south2,europe-west9,154
australia-southeast2,europe-west6,290
europe-southwest1,southamerica-east1,208
australia-southeast2,europe-west3,290
europe-west2,asia-northeast1,216
us-west4,europe-west8,153
southamerica-east1,southamerica-west1,52
us-east4,asia-south1,209
us-south1,us-east5,29
australia-southeast1,northamerica-northeast1,197
australia-southeast1,northamerica-northeast2,190
northamerica-northeast1,europe-west1,82
asia-south1,europe-west9,134
australia-southeast1,southamerica-west1,242
europe-west4,europe-west9,11
us-south1,us-east4,32
us-west2,asia-southeast2,177
asia-east2,europe-west2,232
us-east1,asia-east1,186
us-west1,europe-north1,157
europe-west9,northamerica-northeast2,90
us-east5,europe-west9,86
europe-west3,asia-northeast1,230
australia-southeast2,asia-southeast2,97
australia-southeast1,asia-northeast3,147
asia-southeast2,australia-southeast1,106
asia-northeast2,europe-west3,239
northamerica-northeast2,us-west2,67
us-east1,australia-southeast2,210
asia-south1,us-west4,229
europe-west9,europe-west6,15
europe-southwest1,us-south1,126
asia-northeast2,us-west2,107
europe-west1,us-east4,80
europe-north1,asia-northeast2,256
us-west2,europe-north1,167
australia-southeast1,us-west4,143
asia-northeast2,europe-central2,255
southamerica-west1,asia-south2,343
asia-northeast2,europe-west4,232
northamerica-northeast2,asia-south2,245
asia-northeast3,us-west4,132
us-south1,europe-west4,117
australia-southeast1,us-east1,198
europe-west3,us-west4,145
europe-west1,asia-northeast1,223
asia-northeast2,asia-east2,48
europe-west9,northamerica-northeast1,82
us-west4,europe-southwest1,154
us-west3,asia-northeast3,139
asia-east2,us-west1,131
europe-west4,australia-southeast2,282
asia-east1,northamerica-northeast2,172
asia-south2,us-east5,243
us-central1,us-west3,21
asia-southeast1,asia-northeast1,69
us-east1,europe-west1,91
asia-east2,asia-south1,91
europe-north1,us-east4,103
us-east4,asia-northeast1,146
us-west4,us-west1,30
asia-northeast3,us-east4,172
us-west1,europe-west4,133
us-east4,us-west1,55
us-west1,europe-central2,156
asia-southeast1,europe-central2,210
southamerica-west1,us-central1,144
europe-west9,asia-northeast1,223
europe-west8,asia-south1,124
us-east1,us-east4,11
europe-west6,asia-southeast2,205
australia-southeast2,us-east5,199
northamerica-northeast1,europe-north1,115
us-east5,asia-northeast2,149
