name,hydro,solar,wind,nuclear,fossil fuels
SE-SE1,0.7893927498653005,0.00011054408106359142,0.20390718409073222,,0.006589521962903683
SE-SE2,0.729993888543456,0.0006738556526347332,0.25037482401131084,,0.018957431792598397
SE-SE3,0.09991900111072612,0.0072273067872189005,0.113783703419566,0.7022209486637037,0.07684904001878531
US-NW-SCL,1.0,,,,0.0
US-NW-CHPD,0.9977598751382291,,0.0022401248617710014,,0.0
US-NW-DOPD,1.0,,,,0.0
AU-TAS,0.80492371471501,0.023579460975718412,0.16164725045699654,,0.00984957385227509
NO-NO3,0.7666074003192871,,0.2282913545496367,,0.005101245131076153
CA-QC,0.9226148674394233,6.112866617745535e-05,0.05111837443752511,1.0589180995610893e-06,0.026204570538774546
NO-NO1,0.9410301264827533,,0.053631375856306375,,0.005338497660940215
NO-NO5,0.9803038774717904,,0.0007301373553716025,,0.018965985172838006
US-NW-GCPD,1.0,,,,0.0
SE-SE4,0.13362363429476723,0.05125429792254854,0.5654517444311428,,0.24967032335154155
NO-NO4,0.8696139488333552,,0.08794980470726275,,0.04243624645938203
NO-NO2,0.8532801297290067,,0.13936053271963103,,0.0073593375513622454
CA-ON,0.2588107606615421,0.00472996046113783,0.09442115316331604,0.5381255251812088,0.10391260053279502
DK-BHM,,0.13781675147586536,0.5842336602709772,,0.27794958825315746
US-NW-TPWR,1.0,,,,0.0
NZ,0.7603229361665241,,0.08677653975225794,3.285487903393451e-05,0.15286766920218403
UY,0.411479099991926,0.03713093002830117,0.38018663307149075,,0.17120333690828207
US-NW-BPAT,0.7433717561514918,0.002694451242311693,0.06753716148428889,0.10682703509911888,0.07956959602278874
FR,0.09975907858421397,0.04332020466571194,0.08484022860076806,0.6462478805747286,0.12583260757457743
BR-CS,0.814398233685789,0.012128725250167526,4.42268159003412e-07,0.05085789498566026,0.1226147038102242
BR-N,0.7990039656309262,1.07121820509509e-06,0.024358415707005962,2.1163555343470214e-06,0.1766344310883283
US-NW-PSEI,0.2063190594265829,0.0029618233712928365,0.2256544362122281,,0.5650646809898962
FI,0.19905956692440777,,0.1671470652292774,0.3853748868331212,0.24841848101319364
CH,0.368152868194646,0.056024894136305646,0.000814503942379236,0.4659635204074076,0.10904421331926148
DK-DK2,,0.07614808529982951,0.4330807512723676,,0.49077116342780286
BE,0.00043563000000616803,0.0695552858644725,0.12085534957460341,0.4882902163376303,0.3208635182232876
US-NW-PGE,0.3773368844724148,,5.49004653447006e-07,,0.6226625665229317
AU-SA,,0.16259123592800925,0.4981751304560614,,0.3392336336159294
DK-DK1,0.0005627993955209203,0.06916282955104158,0.5251568869594587,,0.4051174840939787
PE,0.5569439282660054,0.015365854253181922,0.036977231263142535,,0.3907129862176702
ES,0.08519177898631672,0.10765856442925227,0.2295261118181639,0.2194925864421908,0.35813095832407627
CL-SEN,0.24728908839523445,0.1678995373790038,0.10748549661739433,,0.4773258776083674
PT,0.11857830988791883,0.06706035602080292,0.30210854569784396,0.00016037363591888496,0.5120924147575154
LT,0.12136223581251877,0.09078374707113325,0.36273146972285136,0.001954742013484958,0.42316780538001164
GB,0.01212464148547715,0.04863340678930568,0.2865496733437145,0.16912488450603205,0.4835673938754707
US-NW-PACW,0.26143415558278266,0.09050520415320212,0.1387363370563727,,0.5093243032076425
PA,0.5784022895009456,0.04719442658201664,0.04005275678235764,3.154085871835375e-05,0.3343189862759618
AT,0.6035696104460897,0.015628435846230974,0.1360988888900167,,0.24470306481766274
US-CAL-BANC,0.25244996534803116,0.06888377310391115,,,0.6786662615480578
US-SW-SRP,0.004317338117859489,0.020935258737634126,0.004250854945918808,0.5741703396496334,0.39632620854895406
US-CAL-CISO,0.08631151318626522,0.18417994414000416,0.1265599143336851,0.10477528501260198,0.49817334332744356
SI,0.26320060104825527,0.02421818115756462,0.000337500252287928,0.4340625693928332,0.2781811481490591
US-NY-NYIS,0.21329204660032888,,0.03977812976541889,0.21807339282121962,0.5288564308130326
US-CENT-SPA,0.62276663804825,,,,0.37723336195174983
LV,0.5156124100588302,,0.07355001453134616,0.002856654249992686,0.40798092115983087
US-NE-ISNE,0.0680436625377464,0.008748405875101166,0.0375644777512804,0.2643750764171753,0.6212683774186969
HU,0.005047803919302009,0.08290107889413346,0.019038570550493742,0.4848203599688851,0.40819218666718565
HR,0.24656224324517384,0.00497450684698733,0.12385846676242694,,0.6246047831454119
US-CAR-CPLE,0.004265514709954036,0.07797577062094671,,0.4781100644166078,0.43964865025249145
US-CAR-DUK,0.04318999373500514,0.014560496832444177,,0.5350053764138698,0.4072441330186809
SK,0.1386492071857703,0.020383342727993983,0.00010836497513066485,0.6168866534283742,0.2239724316827308
IT-CNO,0.07356186018586841,0.1690654363519809,0.031214833518977306,,0.7261578699431734
GB-NIR,0.002711909647077486,,0.35436492523816604,,0.6429231651147564
LU,0.04674182650758692,0.1810333150490137,0.26549724701532035,,0.506727611428079
