migration,Asia,Americas,Global,Europe,Oceania
one,25.961978216926664,82.20837588139565,86.3656344145118,81.29178796329452,74.57033529854218
inf,25.961978216926664,82.20837588139565,86.3656344145118,81.29178796329452,74.57033529854218
