datetime,carbon_intensity_avg,power_production_coal_avg,power_production_oil_avg,power_production_gas_avg,power_production_biomass_avg,power_production_unknown_avg,power_production_nuclear_avg,power_production_solar_avg,power_production_wind_avg,power_production_hydro_avg
2020-01-01 00:00:00,369.98,12.0,91.0,7290.0,,,2273.0,1403.0,225.0,
2020-01-01 01:00:00,403.58,15.0,91.0,9098.0,,,2272.0,0.0,222.0,
2020-01-01 02:00:00,397.43,14.0,91.0,8827.0,,,2273.0,0.0,263.0,
2020-01-01 03:00:00,392.26,12.0,91.0,8040.0,,,2272.0,0.0,379.0,
2020-01-01 04:00:00,395.92,15.0,46.0,7826.0,,,2272.0,0.0,345.0,
2020-01-01 05:00:00,401.11,12.0,90.0,7710.0,,,2272.0,0.0,277.0,
2020-01-01 06:00:00,408.74,12.0,90.0,7717.0,,,2275.0,0.0,248.0,
2020-01-01 07:00:00,410.18,10.0,46.0,8221.0,,,2275.0,0.0,334.0,
2020-01-01 08:00:00,408.04,11.0,46.0,8326.0,,,2275.0,0.0,286.0,
2020-01-01 09:00:00,413.07,9.0,91.0,8372.0,,,2272.0,0.0,308.0,
2020-01-01 10:00:00,395.75,8.0,90.0,7428.0,,,2274.0,0.0,609.0,
2020-01-01 11:00:00,395.58,9.0,91.0,7118.0,,,2274.0,0.0,445.0,
2020-01-01 12:00:00,389.1,9.0,90.0,6710.0,,,2272.0,0.0,671.0,
2020-01-01 13:00:00,387.33,9.0,90.0,6629.0,,,2271.0,0.0,558.0,
2020-01-01 14:00:00,374.45,9.0,58.0,6312.0,,,2272.0,0.0,775.0,
2020-01-01 15:00:00,375.66,9.0,46.0,6399.0,,,2271.0,150.0,406.0,
2020-01-01 16:00:00,299.4,10.0,46.0,4732.0,,,2273.0,2703.0,761.0,
2020-01-01 17:00:00,247.53,10.0,46.0,4655.0,,,2272.0,5640.0,951.0,
2020-01-01 18:00:00,224.04,10.0,56.0,4111.0,,,2273.0,6699.0,924.0,
2020-01-01 19:00:00,215.7,9.0,62.0,3964.0,,,2275.0,6483.0,1532.0,
2020-01-01 20:00:00,211.38,9.0,83.0,3918.0,,,2272.0,6305.0,1745.0,
2020-01-01 21:00:00,217.16,9.0,46.0,4079.0,,,2272.0,5004.0,2521.0,
2020-01-01 22:00:00,211.2,9.0,91.0,4165.0,,,2273.0,6195.0,2299.0,
2020-01-01 23:00:00,243.98,10.0,92.0,4844.0,,,2270.0,4346.0,2711.0,
2020-01-02 00:00:00,298.05,10.0,90.0,5233.0,,,2271.0,1281.0,2617.0,
2020-01-02 01:00:00,334.74,9.0,91.0,5968.0,,,2272.0,41.0,2402.0,
2020-01-02 02:00:00,337.92,9.0,90.0,6092.0,,,2273.0,0.0,2338.0,
2020-01-02 03:00:00,326.98,7.0,91.0,6090.0,,,2271.0,0.0,2775.0,
2020-01-02 04:00:00,340.68,8.0,90.0,6895.0,,,2273.0,0.0,2416.0,
2020-01-02 05:00:00,343.72,9.0,90.0,7091.0,,,2275.0,0.0,2501.0,
2020-01-02 06:00:00,329.73,8.0,45.0,6113.0,,,2273.0,0.0,2920.0,
2020-01-02 07:00:00,328.58,7.0,91.0,5535.0,,,2274.0,0.0,2906.0,
2020-01-02 08:00:00,324.59,7.0,91.0,5356.0,,,2272.0,0.0,3121.0,
2020-01-02 09:00:00,324.76,7.0,90.0,5121.0,,,2270.0,0.0,2967.0,
2020-01-02 10:00:00,344.59,7.0,90.0,5087.0,,,2272.0,0.0,1981.0,
2020-01-02 11:00:00,342.84,7.0,91.0,5369.0,,,2275.0,0.0,2151.0,
2020-01-02 12:00:00,342.7,8.0,90.0,5664.0,,,2272.0,0.0,2185.0,
2020-01-02 13:00:00,342.63,7.0,90.0,5482.0,,,2276.0,0.0,2279.0,
2020-01-02 14:00:00,342.21,7.0,91.0,5897.0,,,2275.0,0.0,2674.0,
2020-01-02 15:00:00,349.53,5.0,90.0,6619.0,,,2273.0,145.0,2480.0,
2020-01-02 16:00:00,312.95,8.0,91.0,6624.0,,,2273.0,3085.0,1154.0,
2020-01-02 17:00:00,265.25,7.0,91.0,6131.0,,,2273.0,5978.0,679.0,
2020-01-02 18:00:00,254.25,6.0,90.0,5619.0,,,2272.0,6318.0,383.0,
2020-01-02 19:00:00,249.86,6.0,84.0,5879.0,,,2272.0,6926.0,538.0,
2020-01-02 20:00:00,257.6,7.0,91.0,6104.0,,,2275.0,6573.0,565.0,
2020-01-02 21:00:00,263.8,5.0,92.0,6290.0,,,2274.0,6760.0,414.0,
2020-01-02 22:00:00,274.43,7.0,92.0,6508.0,,,2273.0,6586.0,305.0,
2020-01-02 23:00:00,313.73,5.0,91.0,7088.0,,,2274.0,4825.0,196.0,
2020-01-03 00:00:00,380.17,6.0,90.0,8344.0,,,2274.0,1416.0,149.0,
2020-01-03 01:00:00,406.47,5.0,91.0,10040.0,,,2274.0,51.0,167.0,
2020-01-03 02:00:00,409.87,6.0,91.0,10218.0,,,2273.0,50.0,209.0,
2020-01-03 03:00:00,408.49,5.0,91.0,10328.0,,,2274.0,49.0,150.0,
2020-01-03 04:00:00,422.12,5.0,90.0,10367.0,,,2272.0,10.0,60.0,
2020-01-03 05:00:00,424.6,5.0,90.0,10198.0,,,2274.0,0.0,136.0,
2020-01-03 06:00:00,427.75,6.0,90.0,9773.0,,,2268.0,0.0,118.0,
2020-01-03 07:00:00,427.09,5.0,46.0,9266.0,,,2270.0,0.0,164.0,
2020-01-03 08:00:00,425.25,6.0,46.0,8651.0,,,2269.0,0.0,164.0,
2020-01-03 09:00:00,424.07,6.0,46.0,8428.0,,,2267.0,0.0,200.0,
2020-01-03 10:00:00,424.89,6.0,91.0,8355.0,,,2270.0,0.0,169.0,
2020-01-03 11:00:00,420.32,6.0,46.0,8188.0,,,2271.0,0.0,226.0,
2020-01-03 12:00:00,419.92,7.0,45.0,8352.0,,,2271.0,0.0,137.0,
2020-01-03 13:00:00,416.21,7.0,46.0,8465.0,,,2268.0,5.0,173.0,
2020-01-03 14:00:00,408.77,6.0,90.0,8767.0,,,2269.0,4.0,185.0,
2020-01-03 15:00:00,406.37,6.0,90.0,9349.0,,,2269.0,189.0,156.0,
2020-01-03 16:00:00,359.03,4.0,90.0,8799.0,,,2268.0,2995.0,190.0,
2020-01-03 17:00:00,305.33,7.0,90.0,7714.0,,,2269.0,5697.0,125.0,
2020-01-03 18:00:00,272.27,7.0,49.0,6698.0,,,2268.0,6579.0,136.0,
