zone_code,biomass,coal,gas,geothermal,hydro,nuclear,oil,solar,wind,unknown
US-SW-WALC,230.0,817.120985,637.3221021,38.0,24.0,12.0,650.0,45.0,11.0,700.0
TR,230.0,820.0,490.0,38.0,24.0,12.0,650.0,26.15,11.0,700.0
IE,230.0,786.9856885999999,585.9170756,38.0,10.7,5.13,1155.7365666,42.13333333,12.62,700.0
NL,230.0,817.319095,590.7521775,38.0,10.7,5.13,1124.903938,36.5,12.62,342.0
US-FLA-FPL,902.3445824,820.0,487.4893706,38.0,24.0,12.0,634.0504417,25.6,11.0,700.0
US-TEX-ERCO,0.4539605655,1081.455715,513.100066,38.0,24.0,12.0,1314.811109,25.6,11.0,700.0
US-CAR-SCEG,90.54773858,932.0702837,527.4177138,38.0,24.0,12.0,650.0,25.6,11.0,700.0
US-MIDA-PJM,515.9462429,1049.3545804,518.3043938999999,38.0,24.0,12.0,995.5213327,26.82,11.0,700.0
GR,230.0,1537.25003,502.5054126,38.0,10.7,5.13,1124.903938,26.1,12.62,700.0
AU-WA,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
HK,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
IT-SO,230.0,1082.9825388,566.1813452,38.0,10.7,5.13,1165.1256533,25.7,12.62,700.0
US-SW-AZPS,34.52335329,1072.158303,491.3656203,38.0,24.0,12.0,650.0,25.6,11.0,700.0
JP-KN,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
US-SE-SOCO,72.20359898,943.0750138,523.2500634,38.0,24.0,12.0,813.2843708,25.6,11.0,700.0
IT-CSO,230.0,1082.9825388,566.1813452,38.0,10.7,5.13,1165.1256533,26.46666667,12.62,700.0
US-FLA-TAL,230.0,820.0,479.8683566,38.0,24.0,12.0,650.0,45.0,11.0,700.0
US-CENT-SWPP,66.69147532,1044.656633,579.1389525,38.0,24.0,12.0,1219.0111176,25.66,11.0,700.0
RO,230.0,1259.7512649999999,1188.215856,38.0,10.7,5.13,1124.903938,29.78,12.62,700.0
IT-SIC,230.0,1082.9825388,566.1813452,38.0,10.7,5.13,1165.1256533,25.875,12.62,700.0
US-CAR-CPLW,230.0,842.949033,490.0,38.0,24.0,12.0,650.0,26.76666667,11.0,700.0
US-NW-NEVP,230.0,1179.761649,525.9274373999999,52.37975781,24.0,12.0,650.0,25.6,11.0,700.0
DE,230.0,1152.3866810000002,660.5939971,38.0,10.7,5.13,1124.903938,35.11666667,12.62,700.0
US-NW-GRID,230.0,820.0,515.5270557,38.0,24.0,12.0,650.0,45.0,11.0,700.0
KR,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,644.0
SG,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
US-MIDW-MISO,139.1151962,1076.354463,529.253592,38.0,24.0,12.0,1166.7890877999998,26.45,11.0,700.0
US-FLA-FPC,572.1600047,581.6312947,543.934686,38.0,24.0,12.0,1406.940076,25.6,11.0,700.0
BG,230.0,1067.4905370000001,601.60707,38.0,10.7,5.13,1124.903938,27.73333333,12.62,700.0
TW,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
AU-VIC,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
CZ,230.0,1061.99227,601.60707,38.0,10.7,5.13,1124.903938,34.33333333,12.62,700.0
JP-TK,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
US-NW-PSCO,230.0,1117.644366,600.4971118999999,38.0,24.0,12.0,650.0,25.6,11.0,700.0
US-FLA-FMPP,230.0,828.4856555,566.0159719999999,38.0,24.0,12.0,650.0,25.6,11.0,700.0
IL,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,558.0
US-FLA-TEC,1248.927719,866.085401,552.8237021,38.0,24.0,12.0,650.0,25.6,11.0,700.0
US-SW-PNM,230.0,1246.197747,532.1499722,38.0,24.0,12.0,650.0,25.6,11.0,700.0
BA,230.0,820.0,490.0,38.0,24.0,12.0,650.0,28.8,11.0,700.0
AU-NSW,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
US-SW-EPE,230.0,820.0,665.8860298,38.0,24.0,12.0,650.0,25.6,11.0,700.0
IT-SAR,230.0,1082.9825388,566.1813452,38.0,10.7,5.13,1165.1256533,25.6,12.62,700.0
US-CAR-SC,53.68073353,1165.692392,562.9124649,38.0,24.0,12.0,650.0,25.6,11.0,700.0
IN-WE,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
US-SW-TEPC,230.0,1122.399036,625.3167692,38.0,24.0,12.0,650.0,25.6,11.0,700.0
ID,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
AU-QLD,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
US-NW-PACE,230.0,1107.353715,525.722707,70.63419569,24.0,12.0,650.0,27.475,11.0,700.0
US-FLA-JEA,82.16971627,880.658933,732.0220147,38.0,24.0,12.0,650.0,25.6,11.0,700.0
US-MIDW-AECI,230.0,988.4513953999999,520.7407839,38.0,24.0,12.0,650.0,25.66,11.0,700.0
US-NW-NWMT,230.0,1070.1093959999998,775.0343565,38.0,24.0,12.0,1069.7991359,45.0,11.0,700.0
US-FLA-GVL,424.0835095,972.4589745000001,577.6172075,38.0,24.0,12.0,650.0,25.6,11.0,700.0
ZA,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
IN-MH,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
IN-UP,230.0,820.0,490.0,38.0,24.0,12.0,650.0,45.0,11.0,700.0
US-NW-WACM,230.0,1125.725068,571.7150314,38.0,24.0,12.0,1197.0188558,25.6,11.0,700.0
PL,230.0,1104.126726,602.0973266,38.0,10.7,5.13,1124.903938,34.84,12.62,700.0
US-MIDW-LGEE,230.0,1040.9717968,498.1877271,38.0,24.0,12.0,650.0,45.0,11.0,700.0
US-HI-OA,980.1789569,1148.282256,490.0,38.0,24.0,12.0,986.1719304,45.0,11.0,700.0
CY,230.0,1117.262766,601.60707,38.0,10.7,5.13,1124.903938,25.6,12.62,700.0
