slack,Asia,Americas,Global,Europe,Oceania
24,16.11551234803768,30.598677155378095,32.33579708869272,36.01367262692945,52.841254040759736
168,30.942927000637926,65.03502087232951,69.9328078563582,82.08259183264609,103.48407261266466
480,39.0833565859354,85.61778434567539,92.34661011044103,110.55681123256714,127.93495715229612
720,42.28695739694598,93.57038136513177,100.70910903947807,120.9266995034168,136.08294779557897
8760,60.08273215847735,126.8692219846437,134.86791745764586,157.57324376370477,188.51387114514202
