data,SE-SE1,SE-SE2,SE-SE3,US-NW-SCL,US-NW-CHPD,US-NW-DOPD,AU-TAS,NO-NO3,CA-QC,NO-NO1,NO-NO5,US-NW-GCPD,SE-SE4,NO-NO4,NO-NO2,CA-ON,DK-BHM,US-NW-TPWR,NZ,UY,US-NW-BPAT,FR,BR-CS,BR-N,US-NW-PSEI,FI,CH,DK-DK2,BE,US-NW-PGE,AU-SA,DK-DK1,PE,ES,CL-SEN,PT,LT,GB,US-NW-PACW,PA,AT,US-CAL-BANC,US-SW-SRP,US-CAL-CISO,SI,US-NY-NYIS,US-CENT-SPA,LV,US-NE-ISNE,HU,HR,US-CAR-CPLE,US-CAR-DUK,SK,IT-CNO,GB-NIR,LU,US-NW-IPCO,US-TEN-TVA,US-CAL-LDWP,IT-NO,EE,US-CAL-TIDC,US-SW-WALC,TR,IE,NL,US-FLA-FPL,US-TEX-ERCO,US-CAR-SCEG,US-MIDA-PJM,GR,AU-WA,HK,IT-SO,US-SW-AZPS,JP-KN,US-SE-SOCO,IT-CSO,US-FLA-TAL,US-CENT-SWPP,RO,IT-SIC,US-CAR-CPLW,US-NW-NEVP,DE,US-NW-GRID,KR,SG,US-MIDW-MISO,US-FLA-FPC,BG,TW,AU-VIC,CZ,JP-TK,US-NW-PSCO,US-FLA-FMPP,IL,US-FLA-TEC,US-SW-PNM,BA,AU-NSW,US-SW-EPE,IT-SAR,US-CAR-SC,IN-WE,US-SW-TEPC,ID,AU-QLD,US-NW-PACE,US-FLA-JEA,US-MIDW-AECI,US-NW-NWMT,US-FLA-GVL,ZA,IN-MH,IN-UP,US-NW-WACM,PL,US-MIDW-LGEE,US-HI-OA,CY
Spatial,95.6838553436832,95.5739113221592,93.64035506349143,93.48490890700022,93.25337309336086,92.83759072673098,92.74273082687948,92.59548989213299,92.27115648511203,92.03691720616177,91.51061504559298,89.91368205304326,89.87422831742698,88.00442413401599,85.60337042372626,83.94530515139637,81.94420812342202,81.73144317226246,74.05790169914933,73.98181390133077,73.91808909624218,73.00420905039006,72.41864230667436,71.48075955459603,64.55830111107325,60.04749331729109,58.65266109069432,56.57874186754305,53.4851194712962,52.576905732551914,51.241507597988466,45.542390449246355,44.01438342659233,42.5965794920602,42.481452279249005,39.503302931128204,37.761878642495816,36.2612666730141,36.0004910413015,34.9307833664917,33.62324046918889,31.18927848342685,30.45605028657553,28.270791924886304,24.923397371941203,23.625447376078405,22.88842087864076,22.850247291488397,22.573333608080116,19.027877063069756,15.620185999022079,15.359607766140638,15.346962465192151,6.342829224660374,4.3481183742566225,3.7381479288869195,1.6628940169353374,0.8452652692893391,0.6215435983916275,-1.5781013264631452,-1.8941889163754,-2.5599438995640895,-4.2360970406157925,-7.029471786125561,-7.540283251605076,-7.8295704639447,-8.09906914070947,-8.856292296580108,-9.075016089379082,-12.30628558926759,-15.464007445527466,-17.79176978979196,-18.055342473074447,-18.18375242701575,-21.85103503967736,-24.43275578349334,-24.461234206074955,-25.120414599621846,-25.16901995577457,-25.984741341088114,-26.70083860421074,-28.44771692648263,-29.547685501231665,-29.895432206979834,-30.06339165201435,-30.696584814822142,-32.15303088757839,-33.2400365258971,-33.42626202541154,-42.40955156079218,-45.233347418479354,-45.378077638422006,-45.44377798126353,-46.879587354236335,-48.119847309277326,-50.6984620429133,-51.2495775774356,-53.618783759818214,-56.68854785777502,-56.94560421041144,-57.268697134667676,-57.8372974953287,-60.956252328389645,-63.4215514560699,-66.43781737190045,-66.74194699305811,-66.88387675265984,-66.95797320842347,-77.09103439288862,-78.36767802040578,-80.09543344711743,-82.53038273692353,-82.5576780060713,-86.69356251216682,-86.79389844772537,-91.23301018032183,-98.4454893417311,-98.58325017436968,-108.60343455467647,-122.38289653039429,-133.69503394866666,-149.29828572750984,-157.82486130346095
Temporal,1.1475488204881517,0.869369863253155,2.5720283682397147,0.0,0.3009554355571228,0.66660841549796,2.841497605618363,2.2277440441878085,0.5749072068332342,2.370915526107368,1.8102163867932997,3.538668752235383,5.296704601847615,3.465571066382018,8.543813731023011,12.351297546488576,14.629797881345684,8.91909370011411,17.042989915366032,21.44815741598696,14.336497305956907,18.527634271703302,11.722346444276873,13.783569544802575,19.423324805479435,23.492170251385566,29.621561382048323,29.603039359853277,36.22570351918525,32.201338816491976,42.316205530668746,41.830227581880614,25.226406681479997,41.19253825009127,32.95739214412459,50.45221341925964,46.520795676096476,48.575032655351215,45.84900128031687,44.26050468616496,49.55528240271881,31.562775599767203,38.32139301342983,41.12340992315202,56.223249438857145,25.00327565763438,63.36338735169225,68.44515995367344,36.72673800958942,42.727882807320064,46.00648464232771,56.03943115146267,30.752833011005322,54.998576554158916,53.20169434994936,85.9704726856243,84.49626195761707,60.66304044655235,36.31159773146529,44.51040014054331,49.355299723125285,56.02351776876634,52.76757248531841,34.794722515424795,29.38113146502897,75.41533065534047,77.71893039102889,29.730824269143948,60.47008541325864,38.86722433308733,28.784240783969263,87.15208535496215,78.3936901077117,0.0,80.92647856324488,42.754121047561895,22.33701243419377,22.250817010510463,76.58719702854218,19.578259956205184,80.40580335397303,56.885036612573096,78.56291172769018,39.40980616429345,48.52554969560378,84.43569429427387,74.03249048520856,8.617229672134775,7.746311916948128,47.865403690192075,17.608143698632816,43.35938367025823,29.78922829255127,67.77553694503655,56.35249888013533,37.8026304345911,70.78894538108361,21.086525546302155,5.761659730061664,38.884706990008105,105.90104957985695,125.95101898911746,87.77624527455453,67.23157115279439,75.2497207832068,73.43821433152478,48.60452534225681,80.03914354702682,0.0,87.36534085926098,85.06017122957155,37.048429619066255,60.834048572436046,79.61196039076073,51.71261053418485,30.624598453827662,32.630964512141375,8.164312153961978,53.5968471442261,90.45291547593351,38.33376933135564,57.926081481277684,118.67935674517759
Net,96.83140416417137,96.44328118541236,96.21238343173114,93.48490890700022,93.55432852891798,93.50419914222896,95.58422843249782,94.82323393632078,92.84606369194525,94.40783273226914,93.32083143238627,93.45235080527864,95.1709329192746,91.46999520039799,94.14718415474928,96.29660269788495,96.5740060047677,90.65053687237658,91.10089161451535,95.42997131731771,88.25458640219908,91.53184332209337,84.14098875095121,85.2643290993986,83.98162591655267,83.53966356867667,88.27422247274265,86.18178122739634,89.71082299048145,84.77824454904389,93.55771312865721,87.37261803112698,69.2407901080723,83.78911774215146,75.4388444233736,89.95551635038787,84.28267431859229,84.83629932836529,81.84949232161837,79.19128805265667,83.17852287190769,62.75205408319405,68.77744330000536,69.3942018480383,81.14664681079834,48.62872303371278,86.251808230333,91.29540724516183,59.30007161766953,61.75575987038982,61.62667064134979,71.3990389176033,46.09979547619747,61.34140577881929,57.549812724205985,89.70862061451122,86.15915597455239,61.50830571584169,36.93314132985692,42.93229881408018,47.46111080674988,53.46357386920225,48.53147544470262,27.765250729299233,21.840848213423893,67.58576019139578,69.61986125031943,20.874531972563844,51.39506932387955,26.560938743819737,13.320233338441795,69.36031556517018,60.33834763463725,-18.18375242701575,59.07544352356754,18.321365264068547,-2.1242217718811784,-2.8695975891113843,51.41817707276762,-6.406481384882935,53.70496474976229,28.437319686090465,49.015226226458516,9.514373957313634,18.462158043589422,53.73910947945174,41.87945959763017,-24.62280685376231,-25.679950108463412,5.455852129399894,-27.625203719846542,-2.0186939681637788,-15.654549688712262,20.89594959080022,8.23265157085799,-12.895831608322197,19.53936780364801,-32.53225821351608,-50.92688812771336,-18.06089722040332,48.63235244518925,68.11372149378876,26.81999294616487,3.8100196967245004,8.811903411306325,6.696267338466664,-18.279351410403063,13.081170338603355,-77.09103439288862,8.997662838855213,4.9647377824541135,-45.48195311785727,-21.723629433635242,-7.08160212140608,-35.08128791354051,-60.608411726494175,-65.81452482958971,-90.41893802040768,-55.006587410450365,-31.929981054460807,-95.36126461731104,-91.37220424623214,-39.14550455828339
